"LA","TotalPop","PoB","N","sob","percent"
"Shaughnessy ","8,430","    China",440,495,88.89
"Dunbar-Southlands ","21,425","    China",995,1155,86.15
"Arbutus-Ridge ","15,295","    China",905,1125,80.44
"West Point Grey ","13,065","    China",455,620,73.39
"Kerrisdale ","13,975","    China",445,660,67.42
"South Cambie ","7,970","    China",85,135,62.96
"Strathcona ","12,585","    China",135,215,62.79
"Oakridge ","13,030","    China",425,700,60.71
"Hastings-Sunrise ","34,575","    China",445,910,48.9
"Sunset ","36,500","    Philippines",1425,2925,48.72
"Marpole ","24,460","    China",655,1400,46.79
"Kensington-Cedar Cottage ","49,325","    Philippines",905,2055,44.04
"Riley Park ","22,555","    Philippines",215,515,41.75
"Renfrew-Collingwood ","51,530","    Philippines",1235,2990,41.3
"Killarney ","29,325","    Philippines",595,1470,40.48
"Victoria-Fraserview","31,065","    China",725,1850,39.19
"Victoria-Fraserview","31,065","    Philippines",715,1850,38.65
"Grandview-Woodland ","29,175","    China",100,300,33.33
"Sunset ","36,500","    India",940,2925,32.14
"Killarney ","29,325","    China",455,1470,30.95
"Kensington-Cedar Cottage ","49,325","    China",615,2055,29.93
"Hastings-Sunrise ","34,575","    Philippines",270,910,29.67
"Marpole ","24,460","    Philippines",415,1400,29.64
"Downtown ","62,030","    China",730,2545,28.68
"Kitsilano ","43,045","    China",210,745,28.19
"Downtown ","62,030","    Iran",710,2545,27.9
"Renfrew-Collingwood ","51,530","    China",825,2990,27.59
"Fairview ","33,620","    China",150,560,26.79
"West End ","47,200","    Iran",430,1705,25.22
"Mount Pleasant ","32,955","    Philippines",150,615,24.39
"Riley Park ","22,555","    China",125,515,24.27
"Grandview-Woodland ","29,175","    Philippines",60,300,20
"Strathcona ","12,585","    Syria",40,215,18.6
"Mount Pleasant ","32,955","    China",105,615,17.07
