Imm.LA,lon,lat
Arbutus-Ridge ,-123.1604,49.2536
Downtown ,-123.1171,49.282
Dunbar-Southlands ,-123.1852,49.25
Fairview ,-123.1313,49.2635
Grandview-Woodland ,-123.0695,49.2767
Hastings-Sunrise ,-123.0441,49.2811
Kensington-Cedar Cottage ,-123.0761,49.2501
Kerrisdale ,-123.1554,49.2341
Killarney ,-123.0413,49.2202
Kitsilano ,-123.1683,49.2684
Marpole ,-123.1302,49.2107
Mount Pleasant ,-123.0995,49.2628
Oakridge ,-123.1166,49.2261
Renfrew-Collingwood ,-123.0422,49.2445
Riley Park ,-123.1015,49.2405
Shaughnessy ,-123.1413,49.2453
South Cambie ,-123.1208,49.2452
Strathcona ,-123.0874,49.2765
Sunset ,-123.091,49.2183
Victoria-Fraserview,-123.0659,49.2203
West End ,-123.1376,49.2901
West Point Grey ,-123.2001,49.261
