"LA","  Immigrants","TotalPop","percent"
"Oakridge ","7720",13030,59.25
"Victoria-Fraserview","18155",31065,58.44
"Renfrew-Collingwood ","28710",51530,55.72
"Sunset ","20155",36500,55.22
"Marpole ","13140",24460,53.72
"Killarney ","15120",29325,51.56
"Arbutus-Ridge ","7730",15295,50.54
"Kerrisdale ","6640",13975,47.51
"Kensington-Cedar Cottage ","22610",49325,45.84
"Hastings-Sunrise ","15305",34575,44.27
"Shaughnessy ","3535",8430,41.93
"Downtown ","23590",62030,38.03
"Dunbar-Southlands ","7960",21425,37.15
"West Point Grey ","4785",13065,36.62
"Riley Park ","7645",22555,33.89
"West End ","15945",47200,33.78
"South Cambie ","2630",7970,33
"Strathcona ","3895",12585,30.95
"Fairview ","9560",33620,28.44
"Mount Pleasant ","9010",32955,27.34
"Kitsilano ","11580",43045,26.9
"Grandview-Woodland ","7715",29175,26.44
