Election;Link to CSV;Link to XLS;Link to Attributes
2018 Municipal Election;https://webtransfer.vancouver.ca/OpenData/csv/2018MunicipalElectionResults.zip;https://webtransfer.vancouver.ca/OpenData/xls/2018MunicipalElectionResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-attributes
2004 At Large or Wards;https://webtransfer.vancouver.ca/OpenData/csv/2004AtLargeorWardsResults.csv;https://webtransfer.vancouver.ca/OpenData/xls/2004AtLargeorWardsResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-2004-attributes
2003 Olympic Vote;https://webtransfer.vancouver.ca/OpenData/csv/2003OlympicVoteResults.csv;https://webtransfer.vancouver.ca/OpenData/xls/2003OlympicVoteResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-2003-attributes
1999 Municipal Election;https://webtransfer.vancouver.ca/OpenData/csv/1999MunicipalElectionResults.csv;https://webtransfer.vancouver.ca/OpenData/xls/1999MunicipalElectionResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-1999-attributes
2017 Municipal By-Election;https://webtransfer.vancouver.ca/OpenData/csv/2017By-electionResults.zip;https://webtransfer.vancouver.ca/OpenData/xls/2017By-electionResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-attributes
2011 Municipal Election;https://webtransfer.vancouver.ca/OpenData/csv/2011_Election_Results.csv;https://webtransfer.vancouver.ca/OpenData/xls/2011_Election_Results.xls;https://opendata.vancouver.ca/pages/municipal-election-results-2011-attributes
1996 Municipal Election;https://webtransfer.vancouver.ca/OpenData/csv/1996MunicipalElectionResults.csv;https://webtransfer.vancouver.ca/OpenData/xls/1996MunicipalElectionResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-1996-attributes
2022 Municipal Election;https://webtransfer.vancouver.ca/OpenData/csv/2022MunicipalElectionResults.zip;https://webtransfer.vancouver.ca/OpenData/xls/2022MunicipalElectionResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-attributes
2014 Municipal Election;https://webtransfer.vancouver.ca/OpenData/csv/2014MunicipalElectionResults.csv;https://webtransfer.vancouver.ca/OpenData/xls/2014MunicipalElectionResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-2014-attributes
2008 Municipal Election;https://webtransfer.vancouver.ca/OpenData/csv/2008MunicipalElectionResults.csv;https://webtransfer.vancouver.ca/OpenData/xls/2008MunicipalElectionResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-2008-attributes
2005 Municipal Election;https://webtransfer.vancouver.ca/OpenData/csv/2005MunicipalElectionResults.csv;https://webtransfer.vancouver.ca/OpenData/xls/2005MunicipalElectionResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-2005-attributes
2002 Municipal Election;https://webtransfer.vancouver.ca/OpenData/csv/2002MunicipalElectionResults.csv;https://webtransfer.vancouver.ca/OpenData/xls/2002MunicipalElectionResults.xls;https://opendata.vancouver.ca/pages/municipal-election-results-2002-attributes
